薬効分類コード,意味,服薬指導文章
2234,去たん剤,たんの切れが良くなり呼吸が楽になっていることを確認｜痰の色や性状の変化はなく経過良好｜喉の不快感や吐き気などの消化器症状なく服用継続可能｜服薬により気道分泌物が調整され症状が改善傾向にある
2239,去たん剤,たんの切れが良くなり呼吸が楽になっていることを確認｜痰の色や性状の変化はなく経過良好｜喉の不快感や吐き気などの消化器症状なく服用継続可能｜服薬により気道分泌物が調整され症状が改善傾向にある
2241,鎮咳去たん剤,咳の回数は減少し日中の生活に支障なく経過良好｜痰の切れが良くなり呼吸苦等の悪化も認めず継続｜夜間の咳込みによる睡眠障害もなく症状は改善傾向にある｜残薬調整を行い引き続き用法通り服用にて経過を観察する
2242,鎮咳去たん剤,咳の回数は減少し日中の生活に支障なく経過良好｜痰の切れが良くなり呼吸苦等の悪化も認めず継続｜夜間の咳込みによる睡眠障害もなく症状は改善傾向にある｜残薬調整を行い引き続き用法通り服用にて経過を観察する
2249,鎮咳去たん剤,咳の回数は減少し日中の生活に支障なく経過良好｜痰の切れが良くなり呼吸苦等の悪化も認めず継続｜夜間の咳込みによる睡眠障害もなく症状は改善傾向にある｜残薬調整を行い引き続き用法通り服用にて経過を観察する
2251,気管支拡張剤,喘息や息切れの発作症状は出現しておらず安定している｜動悸や手の震えなどの副作用症状は見られず継続に問題なし｜用法通りに使用できており呼吸状態は良好に維持されている｜発作時の頓用回数も増えておらずコントロールは良好である
2252,気管支拡張剤,喘息や息切れの発作症状は出現しておらず安定している｜動悸や手の震えなどの副作用症状は見られず継続に問題なし｜用法通りに使用できており呼吸状態は良好に維持されている｜発作時の頓用回数も増えておらずコントロールは良好である
2254,気管支拡張剤,喘息や息切れの発作症状は出現しておらず安定している｜動悸や手の震えなどの副作用症状は見られず継続に問題なし｜用法通りに使用できており呼吸状態は良好に維持されている｜発作時の頓用回数も増えておらずコントロールは良好である
2259,気管支拡張剤,喘息や息切れの発作症状は出現しておらず安定している｜動悸や手の震えなどの副作用症状は見られず継続に問題なし｜用法通りに使用できており呼吸状態は良好に維持されている｜発作時の頓用回数も増えておらずコントロールは良好である
2260,含嗽剤,うがいの回数やタイミングを守り、刺激感等の異常なく継続できている｜口腔内の不快感や粘膜の荒れなどは見られず使用状況は良好｜決められた希釈濃度を守り問題なく使用できている｜咽頭部の違和感や乾燥感が軽減し症状は安定している
2290,その他の呼吸器官用薬,呼吸状態に大きな変化なく経過良好｜息切れや咳き込みの悪化なく安定している｜特有の副作用症状の訴えなく継続に問題なし｜服薬による体調不良等の申し出はなく継続可能と判断｜自覚症状に変わりなく順調に服用できている
2312,止しゃ剤、整腸剤,下痢や便通異常の改善が見られ順調に経過している｜排便状況は安定しており整腸作用が十分に発揮されている｜腹痛や膨満感などの消化器症状の悪化はなく良好である｜便の状態も正常化しており処方の継続に問題はない
2314,止しゃ剤、整腸剤,下痢や便通異常の改善が見られ順調に経過している｜排便状況は安定しており整腸作用が十分に発揮されている｜腹痛や膨満感などの消化器症状の悪化はなく良好である｜便の状態も正常化しており処方の継続に問題はない
2315,止しゃ剤、整腸剤,下痢や便通異常の改善が見られ順調に経過している｜排便状況は安定しており整腸作用が十分に発揮されている｜腹痛や膨満感などの消化器症状の悪化はなく良好である｜便の状態も正常化しており処方の継続に問題はない
2316,止しゃ剤、整腸剤,下痢や便通異常の改善が見られ順調に経過している｜排便状況は安定しており整腸作用が十分に発揮されている｜腹痛や膨満感などの消化器症状の悪化はなく良好である｜便の状態も正常化しており処方の継続に問題はない
2318,止しゃ剤、整腸剤,下痢や便通異常の改善が見られ順調に経過している｜排便状況は安定しており整腸作用が十分に発揮されている｜腹痛や膨満感などの消化器症状の悪化はなく良好である｜便の状態も正常化しており処方の継続に問題はない
2319,止しゃ剤、整腸剤,下痢や便通異常の改善が見られ順調に経過している｜排便状況は安定しており整腸作用が十分に発揮されている｜腹痛や膨満感などの消化器症状の悪化はなく良好である｜便の状態も正常化しており処方の継続に問題はない
2321,消化性潰瘍用剤,胃痛や胸やけ等の自覚症状はなく経過良好｜規則的な服薬で症状の安定を確認｜消化器症状の改善が見られ継続して服薬できている｜定期的な服用により症状再発なく安定している
2323,消化性潰瘍用剤,胃痛や胸やけ等の自覚症状はなく経過良好｜規則的な服薬で症状の安定を確認｜消化器症状の改善が見られ継続して服薬できている｜定期的な服用により症状再発なく安定している
2325,消化性潰瘍用剤,胃痛や胸やけ等の自覚症状はなく経過良好｜規則的な服薬で症状の安定を確認｜消化器症状の改善が見られ継続して服薬できている｜定期的な服用により症状再発なく安定している
2329,消化性潰瘍用剤,胃痛や胸やけ等の自覚症状はなく経過良好｜規則的な服薬で症状の安定を確認｜消化器症状の改善が見られ継続して服薬できている｜定期的な服用により症状再発なく安定している
2331,健胃消化剤,胃部不快感や膨満感などの症状は改善傾向にあり継続の方針とする｜消化器症状の悪化や新たな腹部症状の出現はなく経過は良好である｜食欲不振や胃もたれなど服用による体調変化の訴えなく服用継続に問題ない｜胃腸の調子は安定しており飲み忘れなく継続できている様子である
2332,健胃消化剤,胃部不快感や膨満感などの症状は改善傾向にあり継続の方針とする｜消化器症状の悪化や新たな腹部症状の出現はなく経過は良好である｜食欲不振や胃もたれなど服用による体調変化の訴えなく服用継続に問題ない｜胃腸の調子は安定しており飲み忘れなく継続できている様子である
2333,健胃消化剤,胃部不快感や膨満感などの症状は改善傾向にあり継続の方針とする｜消化器症状の悪化や新たな腹部症状の出現はなく経過は良好である｜食欲不振や胃もたれなど服用による体調変化の訴えなく服用継続に問題ない｜胃腸の調子は安定しており飲み忘れなく継続できている様子である
2334,健胃消化剤,胃部不快感や膨満感などの症状は改善傾向にあり継続の方針とする｜消化器症状の悪化や新たな腹部症状の出現はなく経過は良好である｜食欲不振や胃もたれなど服用による体調変化の訴えなく服用継続に問題ない｜胃腸の調子は安定しており飲み忘れなく継続できている様子である
2335,健胃消化剤,胃部不快感や膨満感などの症状は改善傾向にあり継続の方針とする｜消化器症状の悪化や新たな腹部症状の出現はなく経過は良好である｜食欲不振や胃もたれなど服用による体調変化の訴えなく服用継続に問題ない｜胃腸の調子は安定しており飲み忘れなく継続できている様子である
2339,健胃消化剤,胃部不快感や膨満感などの症状は改善傾向にあり継続の方針とする｜消化器症状の悪化や新たな腹部症状の出現はなく経過は良好である｜食欲不振や胃もたれなど服用による体調変化の訴えなく服用継続に問題ない｜胃腸の調子は安定しており飲み忘れなく継続できている様子である
2343,制酸剤,胃痛や胸やけの症状は改善傾向にあり問題なく服用継続中｜服用後の不快感や胃部不快感などの副作用訴えなく経過良好｜症状消失のため指示通り服用継続し様子観察とする｜飲み忘れなく規則正しく服用できており症状は安定している
2344,制酸剤,胃痛や胸やけの症状は改善傾向にあり問題なく服用継続中｜服用後の不快感や胃部不快感などの副作用訴えなく経過良好｜症状消失のため指示通り服用継続し様子観察とする｜飲み忘れなく規則正しく服用できており症状は安定している
2349,制酸剤,胃痛や胸やけの症状は改善傾向にあり問題なく服用継続中｜服用後の不快感や胃部不快感などの副作用訴えなく経過良好｜症状消失のため指示通り服用継続し様子観察とする｜飲み忘れなく規則正しく服用できており症状は安定している
2354,催吐剤、鎮吐剤,吐き気や嘔吐の症状なく経過良好｜制吐剤の服用により食事が摂れており状態安定｜現在まで副作用の訴えなく服用継続に問題なし｜制吐効果により体調は落ち着いており服薬継続の必要性を確認済み
2355,催吐剤、鎮吐剤,吐き気や嘔吐の症状なく経過良好｜制吐剤の服用により食事が摂れており状態安定｜現在まで副作用の訴えなく服用継続に問題なし｜制吐効果により体調は落ち着いており服薬継続の必要性を確認済み
2356,催吐剤、鎮吐剤,吐き気や嘔吐の症状なく経過良好｜制吐剤の服用により食事が摂れており状態安定｜現在まで副作用の訴えなく服用継続に問題なし｜制吐効果により体調は落ち着いており服薬継続の必要性を確認済み
2357,催吐剤、鎮吐剤,吐き気や嘔吐の症状なく経過良好｜制吐剤の服用により食事が摂れており状態安定｜現在まで副作用の訴えなく服用継続に問題なし｜制吐効果により体調は落ち着いており服薬継続の必要性を確認済み
2359,催吐剤、鎮吐剤,吐き気や嘔吐の症状なく経過良好｜制吐剤の服用により食事が摂れており状態安定｜現在まで副作用の訴えなく服用継続に問題なし｜制吐効果により体調は落ち着いており服薬継続の必要性を確認済み
2362,利胆剤,胆石や胆道疾患等の症状悪化なく経過良好｜腹部膨満感や下痢等の消化器症状の発現なく服用継続できている｜胆道系疾患の随伴症状もなく安定した状態で経過している｜服用による特段の不調の訴えなく継続に問題なし
2369,利胆剤,胆石や胆道疾患等の症状悪化なく経過良好｜腹部膨満感や下痢等の消化器症状の発現なく服用継続できている｜胆道系疾患の随伴症状もなく安定した状態で経過している｜服用による特段の不調の訴えなく継続に問題なし
2391,その他の消化器官用薬,胃部不快感や腹部膨満感などの症状に大きな変化なく経過良好｜便通状態は安定しており薬剤の継続使用に問題なし｜消化器症状の悪化を認めず処方通り継続されている｜腹部症状の改善傾向を認め継続使用により経過を観察する
2399,その他の消化器官用薬,胃部不快感や腹部膨満感などの症状に大きな変化なく経過良好｜便通状態は安定しており薬剤の継続使用に問題なし｜消化器症状の悪化を認めず処方通り継続されている｜腹部症状の改善傾向を認め継続使用により経過を観察する
2411,脳下垂体ホルモン剤,ホルモン補充による体調の大きな変化はなく継続できている｜内服による副作用症状の訴えなく経過良好｜ホルモンバランスの安定を確認し処方通り継続する｜検査値に大きな変動なく服薬アドヒアランスも良好である
2412,脳下垂体ホルモン剤,ホルモン補充による体調の大きな変化はなく継続できている｜内服による副作用症状の訴えなく経過良好｜ホルモンバランスの安定を確認し処方通り継続する｜検査値に大きな変動なく服薬アドヒアランスも良好である
2413,脳下垂体ホルモン剤,ホルモン補充による体調の大きな変化はなく継続できている｜内服による副作用症状の訴えなく経過良好｜ホルモンバランスの安定を確認し処方通り継続する｜検査値に大きな変動なく服薬アドヒアランスも良好である
2414,脳下垂体ホルモン剤,ホルモン補充による体調の大きな変化はなく継続できている｜内服による副作用症状の訴えなく経過良好｜ホルモンバランスの安定を確認し処方通り継続する｜検査値に大きな変動なく服薬アドヒアランスも良好である
2419,脳下垂体ホルモン剤,ホルモン補充による体調の大きな変化はなく継続できている｜内服による副作用症状の訴えなく経過良好｜ホルモンバランスの安定を確認し処方通り継続する｜検査値に大きな変動なく服薬アドヒアランスも良好である
2431,甲状腺、副甲状腺ホルモン剤,動悸や震えなどの自覚症状なく安定して継続中｜甲状腺ホルモン値の安定を確認し継続服用を指導｜むくみや体重変化などの不調はなく経過良好｜飲み忘れなく規則的に服用できており安定している
2432,甲状腺、副甲状腺ホルモン剤,動悸や震えなどの自覚症状なく安定して継続中｜甲状腺ホルモン値の安定を確認し継続服用を指導｜むくみや体重変化などの不調はなく経過良好｜飲み忘れなく規則的に服用できており安定している
2439,甲状腺、副甲状腺ホルモン剤,動悸や震えなどの自覚症状なく安定して継続中｜甲状腺ホルモン値の安定を確認し継続服用を指導｜むくみや体重変化などの不調はなく経過良好｜飲み忘れなく規則的に服用できており安定している
2449,蛋白同化ステロイド剤,食欲増進や体重増加の異常は見られず経過良好｜肝機能検査値の異常や黄疸などの徴候なく継続に問題なし｜浮腫や体重増加などの副作用症状は認められず安定して服用中｜性機能の変化や体調不良の訴えなく継続に問題なし
2451,副腎ホルモン剤,症状の悪化や副作用の発現なく安定して経過している｜感染症の兆候や皮膚の異常などの副作用徴候は認められない｜症状が改善傾向にあり計画的な減量または継続を確認した｜感染予防の重要性について再確認し指示通り服用が継続されている
2452,副腎ホルモン剤,症状の悪化や副作用の発現なく安定して経過している｜感染症の兆候や皮膚の異常などの副作用徴候は認められない｜症状が改善傾向にあり計画的な減量または継続を確認した｜感染予防の重要性について再確認し指示通り服用が継続されている
2454,副腎ホルモン剤,症状の悪化や副作用の発現なく安定して経過している｜感染症の兆候や皮膚の異常などの副作用徴候は認められない｜症状が改善傾向にあり計画的な減量または継続を確認した｜感染予防の重要性について再確認し指示通り服用が継続されている
2456,副腎ホルモン剤,症状の悪化や副作用の発現なく安定して経過している｜感染症の兆候や皮膚の異常などの副作用徴候は認められない｜症状が改善傾向にあり計画的な減量または継続を確認した｜感染予防の重要性について再確認し指示通り服用が継続されている
2459,副腎ホルモン剤,症状の悪化や副作用の発現なく安定して経過している｜感染症の兆候や皮膚の異常などの副作用徴候は認められない｜症状が改善傾向にあり計画的な減量または継続を確認した｜感染予防の重要性について再確認し指示通り服用が継続されている
2461,男性ホルモン剤,体調や気分の変化なく使用継続できている｜皮膚の赤みや痒みなどの局所症状なく経過良好｜不眠やイライラなどの精神症状の出現なく安定している｜用法用量を遵守し問題なく継続できている｜前立腺疾患等の徴候や異常な自覚症状の訴えなし
2462,男性ホルモン剤,体調や気分の変化なく使用継続できている｜皮膚の赤みや痒みなどの局所症状なく経過良好｜不眠やイライラなどの精神症状の出現なく安定している｜用法用量を遵守し問題なく継続できている｜前立腺疾患等の徴候や異常な自覚症状の訴えなし
2473,卵胞ホルモン及び黄体ホルモン剤,不正出血や腹痛などの自覚症状なく安定して継続中｜血栓症を示唆するような下肢の痛みや腫れ、胸痛の訴えなく良好に経過｜エストロゲン・プロゲステロン併用による副作用症状の出現なく服薬継続｜定期的な休薬期間の遵守を確認し飲み忘れ等なく順調に継続中
2474,卵胞ホルモン及び黄体ホルモン剤,不正出血や腹痛などの自覚症状なく安定して継続中｜血栓症を示唆するような下肢の痛みや腫れ、胸痛の訴えなく良好に経過｜エストロゲン・プロゲステロン併用による副作用症状の出現なく服薬継続｜定期的な休薬期間の遵守を確認し飲み忘れ等なく順調に継続中
2475,卵胞ホルモン及び黄体ホルモン剤,不正出血や腹痛などの自覚症状なく安定して継続中｜血栓症を示唆するような下肢の痛みや腫れ、胸痛の訴えなく良好に経過｜エストロゲン・プロゲステロン併用による副作用症状の出現なく服薬継続｜定期的な休薬期間の遵守を確認し飲み忘れ等なく順調に継続中
2477,卵胞ホルモン及び黄体ホルモン剤,不正出血や腹痛などの自覚症状なく安定して継続中｜血栓症を示唆するような下肢の痛みや腫れ、胸痛の訴えなく良好に経過｜エストロゲン・プロゲステロン併用による副作用症状の出現なく服薬継続｜定期的な休薬期間の遵守を確認し飲み忘れ等なく順調に継続中
2478,卵胞ホルモン及び黄体ホルモン剤,不正出血や腹痛などの自覚症状なく安定して継続中｜血栓症を示唆するような下肢の痛みや腫れ、胸痛の訴えなく良好に経過｜エストロゲン・プロゲステロン併用による副作用症状の出現なく服薬継続｜定期的な休薬期間の遵守を確認し飲み忘れ等なく順調に継続中
2479,卵胞ホルモン及び黄体ホルモン剤,不正出血や腹痛などの自覚症状なく安定して継続中｜血栓症を示唆するような下肢の痛みや腫れ、胸痛の訴えなく良好に経過｜エストロゲン・プロゲステロン併用による副作用症状の出現なく服薬継続｜定期的な休薬期間の遵守を確認し飲み忘れ等なく順調に継続中
2481,混合ホルモン剤,ホルモンバランスの調整が順調であり体調の変化なく経過している｜ほてりや頭痛などの副作用症状の訴えなく継続に問題なし｜服薬による特段の体調不良なく安定して使用されている｜定期的な服用により症状の安定が維持されており継続に支障なし
2482,混合ホルモン剤,ホルモンバランスの調整が順調であり体調の変化なく経過している｜ほてりや頭痛などの副作用症状の訴えなく継続に問題なし｜服薬による特段の体調不良なく安定して使用されている｜定期的な服用により症状の安定が維持されており継続に支障なし
2491,その他のホルモン剤,ホルモン補充に伴う体調の変化は見られず安定して経過されている｜浮腫や体重増加などの副作用症状はなく継続使用に問題なし｜治療の目的を再確認し自己判断での中断がないよう服薬継続の重要性を指導済み｜ホルモン値の安定に向けた用法用量の遵守を再確認し特段の訴えなし
2492,その他のホルモン剤,ホルモン補充に伴う体調の変化は見られず安定して経過されている｜浮腫や体重増加などの副作用症状はなく継続使用に問題なし｜治療の目的を再確認し自己判断での中断がないよう服薬継続の重要性を指導済み｜ホルモン値の安定に向けた用法用量の遵守を再確認し特段の訴えなし
2499,その他のホルモン剤,ホルモン補充に伴う体調の変化は見られず安定して経過されている｜浮腫や体重増加などの副作用症状はなく継続使用に問題なし｜治療の目的を再確認し自己判断での中断がないよう服薬継続の重要性を指導済み｜ホルモン値の安定に向けた用法用量の遵守を再確認し特段の訴えなし
2511,泌尿器官用剤,頻尿や残尿感の改善傾向を確認し継続服用に問題なし｜服薬による口渇や便秘などの副作用症状なく安定して継続中｜排尿時の不快感は軽減しており体調良好にて継続する｜副作用による眠気やふらつきの訴えなく日常生活に支障なし
2519,泌尿器官用剤,頻尿や残尿感の改善傾向を確認し継続服用に問題なし｜服薬による口渇や便秘などの副作用症状なく安定して継続中｜排尿時の不快感は軽減しており体調良好にて継続する｜副作用による眠気やふらつきの訴えなく日常生活に支障なし
2521,生殖器官用剤,月経困難症や子宮内膜症に伴う痛みの改善傾向を確認し継続使用の意義を共有した｜服用開始後の不正出血の有無を確認し経過良好であることを把握した｜ホルモンバランスの変化に伴う情緒不安や頭痛などの自覚症状なく安定して経過している｜次回の受診時までの休薬期間や服用継続のスケジュールについて再確認を実施した
2529,生殖器官用剤,月経困難症や子宮内膜症に伴う痛みの改善傾向を確認し継続使用の意義を共有した｜服用開始後の不正出血の有無を確認し経過良好であることを把握した｜ホルモンバランスの変化に伴う情緒不安や頭痛などの自覚症状なく安定して経過している｜次回の受診時までの休薬期間や服用継続のスケジュールについて再確認を実施した
2531,子宮収縮剤,下腹部痛や出血などの異常なく経過は良好である｜腹痛や吐き気などの消化器症状の訴えなく服用継続に問題なし｜子宮収縮に伴う痛みなどの違和感なく経過良好｜服用による不快な症状の訴えなく継続して服用できている
2559,痔疾用剤,排便時の痛みや出血などの症状は落ち着いており経過良好｜患部の腫れや違和感はなく外用薬の使用で症状は安定している｜便秘や下痢などの排便状況に乱れはなく患部への刺激も最小限に抑えられている｜定期的な使用で炎症や症状の再発はなく良好な状態を維持している
2590,その他の泌尿生殖器官及び肛門用薬,頻尿や残尿感の症状に大きな変化なく経過している｜排尿困難感や不快感などの自覚症状なく継続使用できている｜治療による症状改善の実感があり予定通り使用を継続している｜排尿状態は安定しており特段の副作用の訴えも見られない
2611,外皮用殺菌消毒剤,患部への塗布状況に問題なく赤みや刺激感などの異常も認められない｜外用による皮膚のトラブルや不快感はなく継続して使用できている｜傷口や患部の状態に悪化は見られず順調に経過している｜用法用量を守り適切に使用できており副作用や違和感の訴えもない
2612,外皮用殺菌消毒剤,患部への塗布状況に問題なく赤みや刺激感などの異常も認められない｜外用による皮膚のトラブルや不快感はなく継続して使用できている｜傷口や患部の状態に悪化は見られず順調に経過している｜用法用量を守り適切に使用できており副作用や違和感の訴えもない
2614,外皮用殺菌消毒剤,患部への塗布状況に問題なく赤みや刺激感などの異常も認められない｜外用による皮膚のトラブルや不快感はなく継続して使用できている｜傷口や患部の状態に悪化は見られず順調に経過している｜用法用量を守り適切に使用できており副作用や違和感の訴えもない
2615,外皮用殺菌消毒剤,患部への塗布状況に問題なく赤みや刺激感などの異常も認められない｜外用による皮膚のトラブルや不快感はなく継続して使用できている｜傷口や患部の状態に悪化は見られず順調に経過している｜用法用量を守り適切に使用できており副作用や違和感の訴えもない
2616,外皮用殺菌消毒剤,患部への塗布状況に問題なく赤みや刺激感などの異常も認められない｜外用による皮膚のトラブルや不快感はなく継続して使用できている｜傷口や患部の状態に悪化は見られず順調に経過している｜用法用量を守り適切に使用できており副作用や違和感の訴えもない
2619,外皮用殺菌消毒剤,患部への塗布状況に問題なく赤みや刺激感などの異常も認められない｜外用による皮膚のトラブルや不快感はなく継続して使用できている｜傷口や患部の状態に悪化は見られず順調に経過している｜用法用量を守り適切に使用できており副作用や違和感の訴えもない
2633,化膿性疾患用剤,患部の赤みや腫れなどの炎症症状は改善傾向にあり治療計画通り経過している｜患部に新たな痛みや膿の排出などの症状なく順調に推移している｜皮膚のかゆみや発疹などの過敏症状なく服用を継続できている｜患部の状態は安定しており薬剤の継続使用にて改善が期待できる
2634,化膿性疾患用剤,患部の赤みや腫れなどの炎症症状は改善傾向にあり治療計画通り経過している｜患部に新たな痛みや膿の排出などの症状なく順調に推移している｜皮膚のかゆみや発疹などの過敏症状なく服用を継続できている｜患部の状態は安定しており薬剤の継続使用にて改善が期待できる
2639,化膿性疾患用剤,患部の赤みや腫れなどの炎症症状は改善傾向にあり治療計画通り経過している｜患部に新たな痛みや膿の排出などの症状なく順調に推移している｜皮膚のかゆみや発疹などの過敏症状なく服用を継続できている｜患部の状態は安定しており薬剤の継続使用にて改善が期待できる
2641,鎮痛、鎮痒、収斂、消炎剤,患部への塗布にて炎症や腫れの改善傾向を確認｜皮膚トラブルや赤み等の副作用出現なく経過良好｜使用部位に異常なく指示通り継続中｜かぶれや刺激感などの違和感なく使用できている
2642,鎮痛、鎮痒、収斂、消炎剤,患部への塗布にて炎症や腫れの改善傾向を確認｜皮膚トラブルや赤み等の副作用出現なく経過良好｜使用部位に異常なく指示通り継続中｜かぶれや刺激感などの違和感なく使用できている
2643,鎮痛、鎮痒、収斂、消炎剤,患部への塗布にて炎症や腫れの改善傾向を確認｜皮膚トラブルや赤み等の副作用出現なく経過良好｜使用部位に異常なく指示通り継続中｜かぶれや刺激感などの違和感なく使用できている
2644,鎮痛、鎮痒、収斂、消炎剤,患部への塗布にて炎症や腫れの改善傾向を確認｜皮膚トラブルや赤み等の副作用出現なく経過良好｜使用部位に異常なく指示通り継続中｜かぶれや刺激感などの違和感なく使用できている
2645,鎮痛、鎮痒、収斂、消炎剤,患部への塗布にて炎症や腫れの改善傾向を確認｜皮膚トラブルや赤み等の副作用出現なく経過良好｜使用部位に異常なく指示通り継続中｜かぶれや刺激感などの違和感なく使用できている
2646,鎮痛、鎮痒、収斂、消炎剤,患部への塗布にて炎症や腫れの改善傾向を確認｜皮膚トラブルや赤み等の副作用出現なく経過良好｜使用部位に異常なく指示通り継続中｜かぶれや刺激感などの違和感なく使用できている
2647,鎮痛、鎮痒、収斂、消炎剤,患部への塗布にて炎症や腫れの改善傾向を確認｜皮膚トラブルや赤み等の副作用出現なく経過良好｜使用部位に異常なく指示通り継続中｜かぶれや刺激感などの違和感なく使用できている
2649,鎮痛、鎮痒、収斂、消炎剤,患部への塗布にて炎症や腫れの改善傾向を確認｜皮膚トラブルや赤み等の副作用出現なく経過良好｜使用部位に異常なく指示通り継続中｜かぶれや刺激感などの違和感なく使用できている
2652,寄生性皮膚疾患用剤,患部への塗布状況は良好で症状の改善がみられる｜かぶれや刺激感などの副作用症状はなく使用継続に問題なし｜用法用量を守り正しく塗布できていることを確認した｜使用部位の皮膚状態に異常はなく経過は良好である
2653,寄生性皮膚疾患用剤,患部への塗布状況は良好で症状の改善がみられる｜かぶれや刺激感などの副作用症状はなく使用継続に問題なし｜用法用量を守り正しく塗布できていることを確認した｜使用部位の皮膚状態に異常はなく経過は良好である
2654,寄生性皮膚疾患用剤,患部への塗布状況は良好で症状の改善がみられる｜かぶれや刺激感などの副作用症状はなく使用継続に問題なし｜用法用量を守り正しく塗布できていることを確認した｜使用部位の皮膚状態に異常はなく経過は良好である
2655,寄生性皮膚疾患用剤,患部への塗布状況は良好で症状の改善がみられる｜かぶれや刺激感などの副作用症状はなく使用継続に問題なし｜用法用量を守り正しく塗布できていることを確認した｜使用部位の皮膚状態に異常はなく経過は良好である
2659,寄生性皮膚疾患用剤,患部への塗布状況は良好で症状の改善がみられる｜かぶれや刺激感などの副作用症状はなく使用継続に問題なし｜用法用量を守り正しく塗布できていることを確認した｜使用部位の皮膚状態に異常はなく経過は良好である
2661,皮膚軟化剤,塗布部位の角化や乾燥状態に改善傾向が見られ、継続使用で経過良好である｜患部の皮膚状態は安定しており、副作用等の異常なく使用できている｜保湿による皮膚のバリア機能維持が図られており、適切に使用されている｜皮膚の突っ張り感などの訴えはなく、処方通り順調に使用を継続されている
2662,皮膚軟化剤,塗布部位の角化や乾燥状態に改善傾向が見られ、継続使用で経過良好である｜患部の皮膚状態は安定しており、副作用等の異常なく使用できている｜保湿による皮膚のバリア機能維持が図られており、適切に使用されている｜皮膚の突っ張り感などの訴えはなく、処方通り順調に使用を継続されている
2663,皮膚軟化剤,塗布部位の角化や乾燥状態に改善傾向が見られ、継続使用で経過良好である｜患部の皮膚状態は安定しており、副作用等の異常なく使用できている｜保湿による皮膚のバリア機能維持が図られており、適切に使用されている｜皮膚の突っ張り感などの訴えはなく、処方通り順調に使用を継続されている
2669,皮膚軟化剤,塗布部位の角化や乾燥状態に改善傾向が見られ、継続使用で経過良好である｜患部の皮膚状態は安定しており、副作用等の異常なく使用できている｜保湿による皮膚のバリア機能維持が図られており、適切に使用されている｜皮膚の突っ張り感などの訴えはなく、処方通り順調に使用を継続されている
2679,毛髪用剤,頭皮の痒みや赤み等の皮膚トラブルなく継続使用できている｜ベタつきや刺激感等の不快感の訴えなく順調に使用できている｜塗布部位の皮膚状態に異常なく継続に問題なし｜液だれや不快な臭い等の使用感に関する相談はなく経過良好
2691,その他の外皮用薬,患部への塗布状況は良好で皮膚トラブルの発生なし｜塗布部位の発赤や痒みなどの副作用症状は認められない｜用法用量通り継続できており患部の状態も安定している｜かぶれや刺激感などの不快症状はなく継続使用に問題なし
2699,その他の外皮用薬,患部への塗布状況は良好で皮膚トラブルの発生なし｜塗布部位の発赤や痒みなどの副作用症状は認められない｜用法用量通り継続できており患部の状態も安定している｜かぶれや刺激感などの不快症状はなく継続使用に問題なし
2710,歯科用局所麻酔剤,歯科治療後の麻酔によるしびれや違和感の消失を確認済み｜麻酔投与部位の腫れや痛みなど局所の異常がないことを確認｜過敏症等の特異的な副作用症状の出現なく経過良好｜麻酔使用に伴うアレルギー症状や気分不快などの訴えなし
2760,歯科用表面・浸透用剤,患部の痛みや腫れなど著変なく順調に経過している｜塗布後の刺激感や粘膜の違和感などなく使用できている｜用法通りに塗布できており患部の状態も安定している｜口内環境に変化はなく適切に使用されている
2790,その他の歯科口腔用薬,口内炎や歯肉の炎症症状は軽減しており順調に経過している｜患部の痛みや腫れなどの症状は落ち着いており問題なく使用できている｜口腔内の不快感や異常感覚などの訴えなく継続に問題なし｜用法通り使用し患部の状態は改善傾向にあるため継続とする
2900,分類不明,本剤の服用による自覚症状の訴えはなく服用継続に支障なし｜体調の変化や気になる副作用の発現は見られず順調に経過している｜用法用量通り問題なく服用できており特記事項なし｜処方継続にあたり不都合な体調変化はなく安定して継続できている
3111,ビタミンA及びD剤,用法用量を守り継続服用できている｜自覚症状や副作用の訴えはなく順調に経過している｜服用による体調変化はなく問題なく継続できている｜継続的な服用により状態は安定している
3112,ビタミンA及びD剤,用法用量を守り継続服用できている｜自覚症状や副作用の訴えはなく順調に経過している｜服用による体調変化はなく問題なく継続できている｜継続的な服用により状態は安定している
3113,ビタミンA及びD剤,用法用量を守り継続服用できている｜自覚症状や副作用の訴えはなく順調に経過している｜服用による体調変化はなく問題なく継続できている｜継続的な服用により状態は安定している
3119,ビタミンA及びD剤,用法用量を守り継続服用できている｜自覚症状や副作用の訴えはなく順調に経過している｜服用による体調変化はなく問題なく継続できている｜継続的な服用により状態は安定している
3121,ビタミンB1剤,手足のしびれや神経痛の症状に変化なく経過良好です｜用法通り服用し自覚症状の大きな変化も見られません｜神経障害性の症状について悪化の訴えなく継続服用できています｜倦怠感やふらつきなどの副作用症状の訴えなく順調に継続できています
3122,ビタミンB1剤,手足のしびれや神経痛の症状に変化なく経過良好です｜用法通り服用し自覚症状の大きな変化も見られません｜神経障害性の症状について悪化の訴えなく継続服用できています｜倦怠感やふらつきなどの副作用症状の訴えなく順調に継続できています
3131,ビタミンB剤,口内炎や口角炎の症状なく経過良好｜手足のしびれなどの自覚症状に変化なく継続中｜疲労感の蓄積もなく良好に経過している｜諸症状の改善が見られ体調は安定している
3132,ビタミンB剤,口内炎や口角炎の症状なく経過良好｜手足のしびれなどの自覚症状に変化なく継続中｜疲労感の蓄積もなく良好に経過している｜諸症状の改善が見られ体調は安定している
