成分コード,意味,服薬指導文章
2189012,フルバスタチンナトリウム,服薬後の消化器症状の有無を聴取した｜横紋筋融解症の兆候について定期的に確認する｜他疾患の治療薬との飲み合わせを継続モニタリングする
2189014,コレスチミド,便秘の有無を確認し、排便状況に変化がないことを確認した｜他剤との相互作用回避のため服用間隔の確保を指導した｜高コレステロール血症の改善に向け継続服用を促した
2189015,アトルバスタチンカルシウム水和物,筋痛や脱力感等の自覚症状がないことを確認した｜肝機能検査値の推移に留意し継続投与とした｜服用後の副作用発現がないことを確認し服薬継続とした
2189016,ピタバスタチンカルシウム,筋肉痛などの自覚症状がないことを確認した｜食事療法との併用状況を確認し継続服用とした｜検査値の推移を注視し服薬継続を指示した
2189017,ロスバスタチンカルシウム,自覚的な副作用の発現がないことを確認した｜腎機能および検査数値の推移を確認し継続とした｜継続服用による脂質管理の重要性を伝え服薬を継続した
2189018,エゼチミブ,本剤による副作用の訴えがないことを確認した｜スタチン製剤との併用による脂質管理状況を確認した｜消化器症状の発現がないことを確認し継続服用とした
2189019,オメガ－３脂肪酸エチル,食直後の服用を継続指導｜消化器症状の発現なし｜脂質値の経過観察を継続
2189020,ロミタピドメシル酸塩,低脂肪食の遵守状況を確認｜肝機能および消化器症状の異常なし｜副作用の出現なく継続中
2189021,イコサペント酸エチル,継続的な服用と食事療法を指導｜出血傾向の徴候なし｜検査値の推移を注視
2189101,エゼチミブ・アトルバスタチンカルシウム水和物,筋肉痛等の自覚症状なし｜服薬コンプライアンス良好｜肝機能検査値の安定を確認
2189102,エゼチミブ・ロスバスタチンカルシウム,副作用の自覚症状なし｜用法用量の遵守を確認｜脂質低下作用の経過観察を継続
2189103,ピタバスタチンカルシウム水和物・エゼチミブ,筋肉痛や脱力感等の横紋筋融解症の初期症状がないか継続確認｜肝機能検査値の推移に留意し定期的な血液検査を推奨｜グレープフルーツ等の相互作用に注意し食事習慣について確認
2189401,エボロクマブ（遺伝子組換え）,注射部位反応の有無と注入時の痛みの程度を確認｜保管時の冷蔵管理状況と使用前の常温戻しについて指導｜自己注射の手技に誤りがないか定期的に再確認
2189403,インクリシランナトリウム,投与部位の皮膚症状の有無を聴取｜次回の投与間隔と来院予定日の遵守を指導｜LDLコレステロール値の推移を注視し治療効果を確認
2189404,エビナクマブ（遺伝子組換え）,注入後の過敏症やアレルギー症状の発現に留意｜定期的な投与による脂質管理状況と検査値を経過観察｜家庭内での保管および廃棄方法について再教育
2190004,ガンマーアミノ酪酸,血圧変動や体調変化への影響を継続的にモニター｜既存薬との併用による副作用の有無を確認｜摂取タイミングと継続状況による臨床的有用性を評価
2190005,イフェンプロジル酒石酸塩,脳循環改善効果の自覚症状を確認した｜めまいやふらつきの改善状況を注視する｜長期服用による副作用の有無を定期的にモニタリングする
2190006,トコフェロールニコチン酸エステル,末梢循環改善に伴う手足の冷えの改善を確認した｜血管拡張作用による顔面紅潮やのぼせの兆候はない｜自覚症状の推移を継続して経過観察する
2190009,ポリスチレンスルホン酸ナトリウム,便秘や消化器症状の有無を聴取した｜服用後の排便状況を継続して確認する｜高カリウム血症の是正状況と便通コントロールを管理する
2190016,ポリスチレンスルホン酸カルシウム,服用後の胃腸障害の有無を確認した｜便秘傾向がないか継続的な観察が必要｜血清カリウム値の変化と消化器症状の推移を注視する
2190021,ニセルゴリン,脳代謝改善による意欲や自覚症状の変化を確認した｜服用継続による改善効果を評価する｜胃腸症状などの副作用発現の有無を引き続きモニタリングする
2190022,アメジニウムメチル硫酸塩,午前中の服用を徹底し、血圧上昇効果を維持できていることを確認した。｜立ちくらみの自覚症状はなく、降圧薬との併用による過度な血圧変動も見られない。｜服用忘れのないよう服薬カレンダーを活用し、安定した血圧管理ができている。
2190023,ロメリジン塩酸塩,頭痛の頻度と強さが軽減しており、予防効果が発現している。｜めまいや眠気などの副作用発現はなく、継続して経過観察を行う。｜片頭痛発作の回数を確認し、予防薬としての有効性を維持できている。
2190024,沈降炭酸カルシウム,食事中の服用を継続し、血清カルシウム値の変動に留意している。｜便秘の訴えはなく、消化器症状の発現なし。｜服用タイミングを遵守し、高リン血症および骨粗鬆症予防として管理できている。
2190025,セベラマー塩酸塩,食事直前の服用を遵守し、リン吸着効果を維持できている。｜消化器症状の発現はなく、血清リン値の推移に留意し継続する。｜他の薬剤との間隔を2時間以上空け、吸収への影響を回避できている。
2190026,ボセンタン水和物,肝機能値の定期検査を継続し、副作用の兆候は見られない。｜末梢浮腫や貧血症状の出現はなく、治療効果を確認できている。｜他剤との併用による肝代謝への影響を注視し、定期的な採血結果を確認する。
2190027,ベラプロストナトリウム,ほてり等の副作用の有無を確認し、継続服用できていることを確認した。｜頭痛や皮膚の赤みは見られず、血流改善効果が維持されていると判断する。｜消化器症状の発現はなく、服薬コンプライアンスは良好であると評価する。
2190028,シルデナフィルクエン酸塩,併用禁忌薬の確認を行い、飲み合わせに問題ないことを再確認した。｜血圧変動や立ちくらみ等の訴えはなく、安定して使用できている。｜眼のかすみや頭痛の副作用兆候は見られず、慎重に使用できている。
2190029,炭酸ランタン水和物,よく噛んで服用できているか確認し、指導を行った。｜便秘や消化器症状の有無を聴取し、服用の継続が可能と判断した。｜残薬状況から用法・用量を正しく遵守できていることを確認した。
2190030,タダラフィル,血圧低下のリスクに留意し、副作用の出現がないことを確認した。｜食事の影響を受けにくい製剤であることを再確認し、安定服用中である。｜めまいや潮紅の症状は見られず、服薬指導の内容を適切に理解できている。
2190031,アンブリセンタン,浮腫の兆候がないか確認し、定期的な検査の重要性を伝達した。｜鼻閉などの副作用は見られず、安定した状態で治療継続できている。｜血中濃度の維持のため、決まった時間に服用が継続できていることを確認した。
2190032,ビキサロマー,便秘の有無を確認し、排便状況に変化がないか継続観察する。｜食事中の服用状況を確認し、飲み忘れの有無を指導した。｜消化器症状の発現がなく、服薬が継続できていることを確認した。
2190033,クエン酸第二鉄水和物,便の色が黒くなることについて説明し、不安がないか確認した。｜消化器症状の有無を聴取し、継続して服薬状況を観察する。｜他剤との相互作用に留意し、服用間隔の遵守状況を確認した。
2190034,リオシグアト,低血圧症状の有無を確認し、めまいやふらつきがないか経過観察する。｜出血傾向の徴候がないか定期的に確認を継続する。｜血圧の変動を確認し、服薬アドヒアランスに問題がないことを確認した。
2190035,マシテンタン,貧血症状や浮腫の有無を聴取し、体調変化がないか経過観察する。｜肝機能検査値の推移に留意し、副作用の兆候がないか確認を継続する。｜妊娠の可能性がないことを改めて確認し、継続服薬の重要性を指導した。
2190036,スクロオキシ水酸化鉄,便の色調変化について説明し、患者の理解を確認した。｜胃腸症状の発現がないか聴取し、安全な服用継続を確認した。｜食事摂取量に応じた飲み忘れがないか指導し、排便状況を観察する。
2190037,セレキシパグ,頭痛や顎関節痛の有無を確認し継続服薬を確認｜下痢の程度を確認し食事との関連を評価｜消化器症状の出現有無を確認し服薬継続を判断
2190038,メチロシン,傾眠や精神神経系の副作用の有無を確認｜錐体外路症状の兆候がないか観察を継続｜抑うつ状態等の精神症状の発現状況を評価
2190039,イバブラジン塩酸塩,徐脈の兆候がないか脈拍を確認｜光視症の発現有無を確認し日常生活への影響を評価｜心房細動等の不整脈の出現兆候を確認
2190040,ジルコニウムシクロケイ酸ナトリウム水和物,低カリウム血症の兆候を検査値で確認｜浮腫や便秘の有無を確認し消化管の状態を評価｜服用中の電解質バランスの安定性を評価
2190041,サクビトリルバルサルタンナトリウム水和物,血圧低下やめまいの有無を確認｜空咳や血管浮腫の発現がないか経過観察｜腎機能および血清カリウム値の推移を確認
2190042,ベルイシグアト,低血圧の症状やふらつきの有無を確認し、経過を観察する｜心不全症状の増悪や浮腫の兆候がないか継続してモニタリングを行う｜血圧変動を注視し、めまいや失神症状の出現がないか指導した
2190043,タファミジス,服薬状況を確認し、継続的な内服による心機能維持の重要性を説明した｜消化器症状の有無を聴取し、継続的な経過観察が必要であると判断した｜自覚症状の変化を確認し、重篤な副作用の兆候がないかモニタリングを継続する
2190044,フィネレノン,血清カリウム値の推移を確認し、高カリウム血症の兆候に注意する｜腎機能の定期的なモニタリングの重要性を強調し、継続観察を行う｜低血圧症状の有無を聴取し、安全な継続使用のため経過を観察する
2190045,テナパノル塩酸塩,便の硬さや回数を確認し、下痢等の消化器症状の有無をモニタリングする｜服薬状況を聴取し、便通改善効果と副作用のバランスを評価する｜胃腸症状の出現に留意し、継続的な観察が必要であると判断した
2190046,パチロマーソルビテクスカルシウム,血清カリウム値の推移を注視し、電解質異常の兆候を確認する｜便秘等の消化管への影響を聴取し、継続的なモニタリングを行う｜他剤との服用間隔が適切に保たれているか確認し、経過を観察する
2190101,アムロジピンベシル酸塩・アトルバスタチンカルシウム水和物,血圧・脂質共に目標範囲内であり、副作用症状の訴えなし｜血圧低下によるふらつきを認めず、継続服用中｜自己管理良好で、継続的なモニタリングにて経過を観察する
2190102,アムロジピンベシル酸塩・アトルバスタチンカルシウム水和物,血圧コントロール安定、浮腫等の副作用所見なし｜LDL-C値改善傾向、自覚症状の変化なく服用継続｜併用薬との相互作用の懸念なく、安定して服用できている
2190103,アムロジピンベシル酸塩・アトルバスタチンカルシウム水和物,血圧は安定しており、自覚的な副作用の訴えはない｜脂質・血圧ともに良好、服用コンプライアンス維持できている｜体調変化の申し出なく、今後も継続観察を行う
2190104,アムロジピンベシル酸塩・アトルバスタチンカルシウム水和物,血圧、検査値ともに安定、継続服用に問題なし｜顔面紅潮や頭痛等の副作用症状は認められない｜症状安定のため、生活習慣の継続を指導した
2190105,マシテンタン・タダラフィル,肺高血圧症の管理安定、副作用の徴候は認められない｜血圧低下等の自覚症状はなく、服薬状況に問題ない｜定期的な検査数値の確認を継続し、症状の変化を注視する
2190400,Ｄ－マンニトール,尿量・頻尿の変化を確認｜電解質バランスの推移を監視｜浮腫や口渇の有無を評価
2190402,アルプロスタジル　アルファデクス,出血傾向の有無を継続観察｜血圧低下によるふらつきがないか確認｜投与部位の局所反応を評価
2190404,シチコリン,意識障害や神経症状の改善度を評価｜めまい・ふらつきの有無を確認｜長期間投与における有効性を追跡
2190406,アルプロスタジル,出血リスクの増大に注意し経過観察｜皮膚症状や注射部位の反応を確認｜治療効果をバイタルで判断
2190408,アルガトロバン水和物,APTT等の凝固検査値をチェック｜出血徴候の有無を重点的に確認｜副作用発現リスクを定期的に評価
2190411,インドメタシンナトリウム水和物,胃腸障害の有無を確認し、症状があれば胃薬の併用を検討する｜外用薬との併用による重複投与の可能性を継続してモニタリングする｜長期連用時の消化器症状および浮腫の出現状況を注意深く観察する
2190413,エポプロステノールナトリウム,持続投与に伴うカテーテル感染のリスクについて継続指導を行う｜血圧低下や出血傾向の兆候がないか定期的な観察を継続する｜用量調節時の副作用発現状況を注視し、患者の理解度を評価する
2190414,ファスジル塩酸塩水和物,投与開始初期の血圧低下に対する自覚症状を確認する｜点滴部位の血管痛の有無を継続的にヒアリングする｜併用薬との相互作用に留意し、経過観察を行う
2190415,エポプロステノールナトリウム専用溶解液,溶解液の在庫状況および保管方法が適切であるか再確認する｜無菌操作の維持について患者の理解度を評価する｜溶解後の安定性保持のため、使用期限の遵守を徹底させる
2190416,トレプロスチニル,注射部位反応の程度を確認し、皮膚状態の経過をモニタリングする｜副作用としての頭痛や下痢の出現有無を継続的に評価する｜注入ポンプの操作状況を確認し、安定した投与がなされていると判断する
2190417,イブプロフェン　Ｌ－リシン,胃腸障害の有無を確認し、空腹時を避けるよう指導済み｜鎮痛効果の発現を確認し、連用時の副作用に注意を促した｜アスピリン喘息の既往がないことを再確認し、経過観察とした
2190418,クラゾセンタンナトリウム,頭痛の副作用の発現状況を確認し、必要に応じた対応を説明済み｜血圧の変動に注意し、継続的な服薬の重要性を指導した｜自覚症状の変化を注視し、定期的なバイタルチェックを推奨した
2190501,濃グリセリン・果糖,浸透圧利尿効果を確認し、水分摂取のバランスについて指導済み｜服用後の排尿状況を聴取し、経過観察とした｜低血糖症状に留意し、体調変化の際は速やかに相談するよう説明した
2190702,トレプロスチニル,投与部位の皮膚状態に異常がないことを確認し、継続を推奨した｜副作用としての頭痛や潮紅の程度を確認し、経過観察とした｜吸入または注入の手技を再確認し、一貫した投与を指導済み
2213400,ジモルホラミン,呼吸状態への影響を確認し、過量投与を避けるよう説明済み｜興奮症状の有無を確認し、経過観察とした｜他の併用薬との相互作用を考慮し、副作用の発現に注意を促した
2213401,レバロルファン酒石酸塩,呼吸抑制の改善を確認。副作用の徴候なし。｜意識状態および呼吸状態の安定を確認。｜バイタルサインに異常なく経過良好。
2219400,ドキサプラム塩酸塩水和物,呼吸状態の改善を認め、処置後の経過に問題なし。｜過敏反応等の副作用発現なし。経過観察を継続。｜呼吸興奮作用による動悸や不整脈の兆候を確認したが認められず。
2219402,ナロキソン塩酸塩,投与後の呼吸抑制の回復良好。離脱症状に注意して観察。｜意識レベルの向上を確認。有害事象の発生なし。｜呼吸状態は安定。血圧変動等のモニタリングを継続。
2219403,フルマゼニル,鎮静からの覚醒状態良好。再鎮静の徴候なし。｜投与後の意識クリアを確認。副作用の発現を認めず。｜バイタルサインは安定。覚醒後の痙攣等に注意して観察。
2219700,肺サーファクタント,肺コンプライアンスの改善を確認。呼吸状態は安定。｜酸素飽和度の向上を認める。引き続き呼吸状態を注視。｜投与後の呼吸音に異常なく、良好に経過。
2221002,エフェドリン塩酸塩,交感神経刺激による動悸・震えの有無を確認した｜不眠や口渇の副作用が出ていないか経過を観察する｜重複投与に注意し心疾患の有無を確認した
2221003,ｄｌ－メチルエフェドリン塩酸塩,服用後の動悸・不眠等の副作用発現はない｜症状改善に伴い適宜減量または休薬を検討する｜高齢者への投与につき排尿障害や血圧変動を注視する
2221400,エフェドリン塩酸塩,交感神経への影響を考慮し血圧変動をモニタリングする｜副作用の出現なく安定して服用できている｜多剤との併用による興奮状態の有無を確認した
2221401,ｄｌ－メチルエフェドリン塩酸塩,鎮咳効果は得られており特段の副作用は認めない｜めまいやふらつきの兆候がないか継続観察する｜適正な服用間隔を遵守し症状経過を追う
2222001,ノスカピン,鎮咳効果が得られていることを確認した｜悪心や頭痛等の副作用の発現はなく経過良好｜他の鎮咳剤との重複に注意し服用継続を促す
2223001,デキストロメトルファン臭化水素酸塩水和物,咳の頻度を確認。重篤な副作用は認められず継続投与とする。｜痰の切れにくさを確認。水分摂取を指導し経過を観察する。｜用法通り服用できていることを確認。症状の改善傾向を認める。
2223400,デキストロメトルファン臭化水素酸塩水和物,乾いた咳の症状を確認。指示通り服用できており良好。｜眠気や口渇の有無を確認。特記すべき副作用はなく服用を継続とする。｜咳症状の残存を確認。次回再診まで様子見とする。
2224001,ペントキシベリンクエン酸塩,咳による睡眠障害の改善を確認。副作用なく服用継続。｜発作的な咳の回数を確認。症状は軽減傾向であり経過良好。｜胃腸症状の有無を確認。特に異常なく次回まで様子見とする。
2229001,ジメモルファンリン酸塩,咳の軽減を確認。副作用は認められず指示通り継続。｜痰を伴う咳がないことを確認。服用を継続し様子を観察する。｜服用後の眠気を確認。日常生活に支障ない範囲と判断し継続。
2229002,クロフェダノール塩酸塩,咳止め効果を実感していることを確認。副作用なく服用継続。｜副作用のめまいの有無を確認。問題なく経過観察。｜空咳の改善を確認。服用を継続し症状の変化を注視する。
2229004,クロペラスチン塩酸塩,鎮咳作用による症状改善を確認。眠気の有無を注視する｜服用後の空咳の軽減と副作用の発現がないことを確認｜咳の頻度低下を認め、継続服用にて経過観察する
2229006,クロペラスチンフェンジゾ酸塩,咳症状の緩和を確認。眠気や口渇の副作用に注意を促す｜症状の改善を認め、副作用報告がないため継続とする｜夜間の咳込みが軽減しており、服用状況良好と判断する
2229101,鎮咳配合剤,配合成分による鎮咳効果を確認。副作用の発現はなく経過良好｜症状に合わせて頓用服用し、改善傾向にあることを確認｜咳込みの頻度が減少し、副作用の訴えもないため継続観察とする
2229102,鎮咳配合剤,配合剤の効果により咳症状の落ち着きを確認｜眠気の発現に注意しつつ、症状の経過を追う｜咳の改善を認め、処方通り服用できていることを確認
2229114,ジプロフィリン・ジヒドロコデイン配合剤,気管支拡張と鎮咳効果を確認。副作用の眠気や動悸がないことを確認｜咳の改善を認め、服用による特段の不都合はないと判断｜症状の安定を確認し、引き続き用法通り服用にて経過を見る
2231001,セネガシロップ,去痰効果を確認。胃部不快感の有無を継続観察する。｜食後の服用で胃への負担を軽減し経過をみる。｜痰の排出状況を確認。飲み忘れがないよう服薬継続を促す。
2232001,アンモニア・ウイキョウ精,呼吸器症状の改善傾向を確認。消化器系の副作用がないか経過観察する。｜独特の風味を確認。継続服用できているか確認し経過をみる。｜痰の切れやすさを確認。服用後の体調変化に注意し観察する。
2233001,Ｌ－エチルシステイン塩酸塩,去痰作用による排痰状況を評価。症状改善まで服薬継続を確認する。｜副作用の訴えなし。引き続き用法通り服用し様子をみる。｜痰の性状変化を確認。定期的な服薬により症状の鎮静化を観察する。
2233002,Ｌ－カルボシステイン,痰の粘稠性低下を確認。症状の経過を観察する。｜副作用の兆候なし。服薬のコンプライアンス良好と判断する。｜喀痰の排出が容易になったかを確認。服薬中断しないよう指導し経過をみる。
2233004,フドステイン,粘膜修復効果による咳嗽・痰の軽減を確認。症状の推移を観察する。｜消化器症状の有無を確認。安定して服用できているか経過をみる。｜去痰効果を評価。継続服用による症状緩和の経過を追う。
2233700,アセチルシステイン,喀痰の排出状況を確認し、去痰効果が認められるため継続とする。｜痰の切れが改善傾向にあり、服薬遵守状況も良好。｜痰の性状変化を注視し、次回来局時に効果を確認する。
2234001,ブロムヘキシン塩酸塩,気道分泌の促進による排痰効果を確認。副作用の発現はなく経過良好。｜痰が絡みやすい症状に対して改善傾向にあるため、継続して服用を指示。｜呼吸状態に異常はなく、薬剤の効果は発現していると判断。
2234400,ブロムヘキシン塩酸塩,去痰薬としての有効性は確認されており、現状維持とする。｜排痰の容易さを確認し、服用による明らかな副作用は認められない。｜痰の排出がスムーズになっていることを確認し、服薬を継続させる。
2234700,ブロムヘキシン塩酸塩,症状の軽快が認められ、去痰薬の効果は十分であると判断する。｜痰の量や粘稠度の変化を聴取し、経過観察とする。｜副作用の訴えはなく、服用継続による治療効果を期待する。
2239001,アンブロキソール塩酸塩,気道潤滑作用による排痰改善を確認。副作用なく服用継続中。｜痰の切れが良くなっていることを確認し、処方通り服用を指示。｜呼吸器症状の軽減を認め、治療目標に向けて順調に経過している。
2241001,キョウニン水,鎮咳目的で投与｜服用後の呼吸状態に変化なし｜副作用の発現なし経過観察
2241003,オウヒエキス,鎮咳目的で投与｜服薬による消化器症状は認められない｜用法通り服用確認
2242001,コデインリン酸塩水和物,咳症状に対し処方｜便秘等の副作用発現なし｜眠気等の症状について指導済み
2242002,ジヒドロコデインリン酸塩,鎮咳薬として投与｜過度な眠気や便秘の訴えなし｜服薬状況は良好
2249001,エプラジノン塩酸塩,去痰および鎮咳目的で投与｜消化器系の副作用なし｜症状の改善傾向を確認
2249003,チペピジンヒベンズ酸塩,咳の頻度や強さを確認し、効果不十分な場合は医師へ報告を検討する｜眠気の有無を聴取し、日中の支障がないか経過観察を行う｜症状改善に伴い、漫然と継続せず中止の可能性を考慮する
2249105,ジヒドロコデイン・エフェドリン配合剤,便秘の副作用の有無を確認し、消化器症状の推移を注意深く観察する｜呼吸抑制や眠気の兆候を確認し、安全な服用状況であることを確認する｜連用による依存性の可能性を念頭に置き、服薬期間をモニタリングする
2249106,デキストロメトルファン臭化水素酸塩水和物・クレゾールスルホン酸カリウム,去痰効果と咳の鎮まりを確認し、継続の必要性を評価する｜のどの違和感や副作用の出現がないか経過観察を行う｜服用後の症状経過を記録し、次回の受診時までモニタリングを継続する
2249500,グアイフェネシン,痰の出しやすさの変化を確認し、効果の実感を評価する｜胃部不快感などの副作用の有無を聴取し経過観察を行う｜症状の改善状況に応じ、減量や中止のタイミングを医師と検討する
2251001,テオフィリン,吐き気、動悸、震え等の副作用出現がないか重点的に確認する｜他剤との相互作用に留意し、服薬タイミングの遵守を指導する｜血中濃度維持のため、規則正しい服用ができているか服薬状況を評価する
2252003,テルブタリン硫酸塩,発作時の吸入薬として使用を確認｜過剰使用による動悸がないか経過観察｜効果不十分な場合の医療機関受診を指導
2252006,フェノテロール臭化水素酸塩,息苦しさを感じた際の頓用として理解度を確認｜副作用の震えや頻脈の有無を確認｜定期的な症状管理と併せて経過観察
2252401,テルブタリン硫酸塩,吸入後の症状緩和効果について聴取｜連用による効果減弱がないか確認｜吸入回数が増える場合は医師へ報告するよう助言
2252700,ｄｌ－イソプレナリン塩酸塩,吸入回数および使用間隔を遵守し過剰使用を避けるよう指導｜動悸や手の震え等の副作用出現なし｜症状改善し安定している｜定期的な残薬確認を継続する
2252704,フェノテロール臭化水素酸塩,使用タイミングと吸入方法の再確認｜副作用発現の有無について継続観察｜頓用の頻度からコントロール状況を評価
2254001,サルブタモール硫酸塩,発作時に適切に使用できていることを確認｜動悸や手の震え等の副作用出現なし｜症状の悪化傾向がないか経過を追う
2254700,サルブタモール硫酸塩,吸入回数・使用感を確認し副作用の有無を観察｜過度な使用による心悸亢進がないか継続確認｜吸入後の症状改善度をモニタリング
2259002,ツロブテロール塩酸塩,貼付部位の皮膚症状を確認｜剥がれ等の使用状況を聴取｜貼付による動悸等の副作用がないか観察
2259003,トリメトキノール塩酸塩水和物,服用後の症状変化を観察｜手の震えや動悸の出現がないか確認｜用法用量通りの継続使用を指導
2259004,プロカテロール塩酸塩水和物,定期的な服用による症状安定を確認｜副作用の発現状況を継続モニタリング｜吸入薬等との併用状況と効果を評価
2259006,クレンブテロール塩酸塩,症状コントロール状況を評価｜副作用の有無を確認し服薬継続の必要性を判断｜動悸や手指の震えの有無を継続観察
2259700,トリメトキノール塩酸塩水和物,気管支拡張作用による呼吸困難の改善を確認｜動悸や手の震え等の副作用発現がないことを確認｜継続服用による喘息症状のコントロール状況を評価
2259701,クロモグリク酸ナトリウム,眼のかゆみや異物感などの症状は落ち着いており点眼継続に問題なし｜鼻粘膜の過敏症状などの悪化は見られず安定して経過している｜点眼回数の守り忘れなく良好に使用できている｜充血や刺激感などの副作用症状の発現はなく経過良好
2259702,イプラトロピウム臭化物水和物,吸入後の口渇や眼痛の有無を確認｜吸入操作の正確性を再確認｜本剤による閉塞隅角緑内障の徴候がないことを評価
2259703,ベクロメタゾンプロピオン酸エステル,吸入後は必ずうがいをするよう指導｜適切な吸入操作を確認｜症状の安定を維持｜継続使用に問題なし
2259704,プロカテロール塩酸塩水和物,使用後の呼吸苦の軽減を把握｜頻脈や動悸等の副作用の有無を確認｜吸入後のうがいによる口腔内ケアの定着を評価
2259707,ツロブテロール,貼付部位の皮膚症状の有無を確認｜剥がれやすさ等の使用状況を把握｜血中濃度の安定による夜間喘息の抑制効果を評価
2259708,サルメテロールキシナホ酸塩,定期使用による喘息発作の頻度低下を確認｜吸入後の口腔内不快感の有無を把握｜長期管理薬としての服薬継続状況を評価
2259709,チオトロピウム臭化物水和物,吸入操作に問題なく、継続してアドヒアランス良好である。｜吸入後のうがいを徹底しており、副作用の口腔内不快感は認められない。｜残薬を確認し、吸入の手技を再確認の上、継続処方とする。
2259710,インダカテロールマレイン酸塩,動悸等の自覚症状なく、安定して使用できている。｜吸入デバイスの使用手順を再確認し、吸入量不足がないことを確認した。｜長期管理として適切な使用状況であり、継続を推奨する。
2259711,ホルモテロールフマル酸塩水和物,咳嗽等の症状は落ち着いており、吸入の手技も習得済みである。｜定期的な吸入により気道閉塞が改善傾向にある。｜用法を守り、適切な吸入タイミングで継続使用できている。
2259712,グリコピロニウム臭化物,口渇等の副作用は見られず、良好な耐容性を示している。｜吸入残数を確認し、デバイスの保管方法を含め指導を実施した。｜自覚症状の改善が見られ、治療効果が安定している。
2259713,アクリジニウム臭化物,指示通りの吸入回数で管理できており、症状は安定している。｜吸入後の苦味を感じる旨の訴えがあり、うがいの徹底を再度指導した。｜吸入動作が正確に行われていることを確認し、継続して経過観察する。
2259714,ウメクリジニウム臭化物,吸入後のうがいで口腔内を清潔に保つよう指導済み｜口渇の副作用発現状況を継続して観察｜吸入手技に問題なく安定して使用できている
2259800,ｄｌ－メチルエフェドリン塩酸塩・ジプロフィリン,動悸や震え等の副作用が発現していないか確認｜用法通り服用し症状改善傾向｜多剤との併用による重複リスクは現時点で認められない
2259801,チロキサポール,吸入器の洗浄方法について理解度を確認済み｜吸入による気道刺激の有無を継続的に観察｜手技の再評価を行い使用状況は良好
2259805,インダカテロールマレイン酸塩・グリコピロニウム臭化物,1日1回投与の定時使用が定着している｜閉塞隅角緑内障や前立腺肥大に伴う症状の変化はない｜吸入後のうがい励行により口腔トラブルは発生していない
2259806,ウメクリジニウム臭化物・ビランテロールトリフェニル酢酸塩,吸入操作の手順を再確認し自己管理能力に問題なし｜副作用の発現なく良好に経過｜次回もアドヒアランスの状況を継続してモニタリングする
2259807,チオトロピウム臭化物水和物・オロダテロール塩酸塩,吸入操作の正確性を確認した｜吸入後のうがいの実施を確認した｜動悸や口渇の副作用発現なし｜毎日決まった時間に吸入できている
2259808,グリコピロニウム臭化物・ホルモテロールフマル酸塩水和物,吸入器の残数を確認した｜吸入後の口腔ケアの徹底を指示した｜頻脈や振戦などの自覚症状なし｜定時吸入による喘息管理が安定している
2260700,アズレンスルホン酸ナトリウム水和物,口腔内や喉の炎症症状は改善傾向にあり問題なく使用できている｜うがいや塗布による副作用の訴えはなく使用感に問題なし｜粘膜の腫れや痛みなどの自覚症状は軽減しており継続に問題なし｜口腔内の違和感や過敏症などの副作用症状は見られず順調に使用できている
2260701,ポビドンヨード,希釈方法と使用期限を再確認した｜口腔粘膜への刺激感の有無を確認した｜うがい後の口腔内の異常なし｜適量を適切に使用できている
2260702,アズレンスルホン酸ナトリウム水和物・炭酸水素ナトリウム,溶解後の使用期限について指導した｜喉の炎症状態の改善を確認した｜副作用報告なし｜用法用量通りに継続使用できている
2290001,ゲーファピキサントクエン酸塩,味覚障害の有無を重点的に確認した｜服用後の咳嗽発作の頻度を評価した｜副作用の自覚症状なし｜服薬アドヒアランスは良好である
2290400,オマリズマブ（遺伝子組換え）,注射部位の腫れや痒みの有無を確認、アナフィラキシー徴候なし。｜喘息コントロール良好、定期的な継続投与の必要性を確認。｜自己注射手技に問題なく、体調の変化も認められない。
2290401,メポリズマブ（遺伝子組換え）,投与後の発熱や頭痛等の副作用発現なし。｜気管支喘息の症状安定しており、継続的なモニタリングを実施。｜注射部位の異常なく、治療効果について患者の理解度も良好。
2290402,ベンラリズマブ（遺伝子組換え）,重篤な副作用の兆候は見られず、経過は順調。｜喘息発作の頻度減少を確認、継続投与により良好な状態を維持。｜注射部位の反応なし、手技習得についても問題ないことを確認。
2290403,テゼペルマブ（遺伝子組換え）,投与後のアレルギー反応や咽頭痛の訴えなし。｜呼吸器症状の改善傾向が見られ、継続的な経過観察を行う。｜自己投与の管理状況は適切、副作用報告もなく良好な状態。
2290700,フルチカゾンプロピオン酸エステル,使用方法の再確認を実施｜鼻粘膜への噴霧を徹底｜副作用の訴えなし｜継続に問題なし
2290701,ブデソニド,吸入後のうがい励行を確認、口腔内カンジダの兆候なし。｜吸入テクニックに問題なく、症状のコントロール良好。｜残薬の調整を行い、定期的な服薬遵守を継続できるよう指導済み。
2290702,シクレソニド,噴霧後のうがいを確認し口腔内症状なし｜吸入手技は適切で症状コントロール良好｜継続使用による局所副作用の出現なし
2290703,モメタゾンフランカルボン酸エステル,鼻腔内の刺激感や出血等の症状なし｜正しい噴霧手技を再確認し効果は安定｜鼻閉・鼻汁ともに改善傾向で継続
2290704,ドルナーゼ　アルファ（遺伝子組換え）,吸入後の咳嗽や喉頭部の違和感なし｜痰の排出がスムーズになり呼吸状態は安定｜発声障害等の副作用出現なし
2290705,フルチカゾンフランカルボン酸エステル,使用方法の再確認を実施｜1日1回一定のタイミングでの使用を指導｜副作用の訴えなし｜継続に問題なし
